##################### Startup Complete ######################{"device_name": "ECE362CarTeam07",#  "pid": [0.405000,0.070000,0.000000]#}#{"csv": "time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering (degrees?)
13751, 8.136, 66.420, 8.202, 674.000, 5102.000, 0.000, 1073494928, 0
13819, 8.132, 64.540, 8.197, 626.500, 5098.000, 0.000, 1073494928, 0
13887, 8.148, 61.460, 8.209, 673.900, 5482.000, 0.000, 1073494928, 0
13955, 8.132, 63.090, 8.195, 662.800, 5410.000, 0.000, 1073494928, 0
14023, 8.132, 65.810, 8.198, 662.000, 5370.000, 0.000, 1073494928, 0
14091, 8.136, 65.600, 8.202, 654.800, 5328.000, 0.000, 1073494928, 0
14159, 8.132, 66.770, 8.199, 665.000, 5406.000, 0.000, 1073494928, 0
14227, 8.128, 68.050, 8.196, 664.600, 5440.000, 0.000, 1073494928, 0
14295, 8.128, 67.490, 8.195, 683.000, 5554.000, 0.000, 1073494928, 0
14363, 8.132, 66.080, 8.198, 672.000, 5462.000, 0.000, 1073494928, 0
14431, 8.120, 68.670, 8.189, 691.300, 5620.000, 0.000, 1073494928, 0
14499, 8.128, 66.130, 8.194, 675.500, 5410.000, 0.000, 1073494928, 0
14567, 8.128, 66.280, 8.194, 673.600, 5476.000, 0.000, 1073494928, 0
14635, 8.120, 69.160, 8.189, 695.300, 5650.000, 0.000, 1073494928, 0
14703, 8.132, 70.060, 8.202, 657.500, 5642.000, 0.000, 1073494928, 0
14771, 8.124, 69.410, 8.193, 692.100, 5624.000, 0.000, 1073494928, 0
14839, 8.124, 68.800, 8.193, 650.800, 5288.000, 0.000, 1073494928, 0
14907, 8.124, 70.350, 8.194, 699.200, 5678.000, 0.000, 1073494928, 0
14975, 8.120, 70.160, 8.190, 710.300, 5518.000, 0.000, 1073494928, 0
15043, 8.124, 67.840, 8.192, 696.900, 5666.000, 0.000, 1073494928, 0
15111, 8.124, 66.900, 8.191, 688.400, 5594.000, 0.000, 1073494928, 0
15179, 8.132, 67.400, 8.199, 673.100, 5374.000, 0.000, 1073494928, 0
15247, 8.124, 69.470, 8.193, 684.900, 5632.000, 0.000, 1073494928, 0
15315, 8.136, 67.810, 8.204, 670.700, 5452.000, 0.000, 1073494928, 0
15383, 8.056, 89.240, 8.145, 866.900, 6990.000, 0.000, 1073494928, 0
15451, 8.076, 83.880, 8.160, 802.400, 6848.000, 0.000, 1073494928, 0
15519, 8.084, 82.640, 8.167, 833.800, 6734.000, 0.000, 1073494928, 0
15587, 8.076, 80.810, 8.157, 816.600, 6602.000, 0.000, 1073494928, 0
15655, 8.084, 78.270, 8.162, 817.500, 6586.000, 0.000, 1073494928, 0
15723, 8.092, 73.400, 8.165, 736.500, 6498.000, 0.000, 1073494928, 0
15791, 8.084, 80.110, 8.164, 761.300, 6154.000, 0.000, 1073494928, 0
15859, 8.092, 77.730, 8.170, 819.800, 6632.000, 0.000, 1073494928, 0
15927, 8.104, 78.410, 8.182, 771.700, 5908.000, 0.000, 1073494928, 0
15995, 8.092, 79.170, 8.171, 788.500, 6380.000, 0.000, 1073494928, 0
16063, 8.100, 74.770, 8.175, 786.000, 6358.000, 0.000, 1073494928, 0
16131, 8.092, 76.340, 8.168, 788.500, 6384.000, 0.000, 1073494928, 0
16199, 8.112, 72.960, 8.185, 738.900, 6078.000, 0.000, 1073494928, 0
16267, 8.096, 74.810, 8.171, 766.900, 6204.000, 0.000, 1073494928, 0
16335, 8.144, 65.060, 8.209, 646.100, 5256.000, 0.000, 1073494928, 0
16403, 8.136, 65.160, 8.201, 646.000, 5266.000, 0.000, 1073494928, 0
16471, 8.144, 62.170, 8.206, 648.000, 5200.000, 0.000, 1073494928, 0
16539, 8.136, 63.420, 8.199, 648.000, 5280.000, 0.000, 1073494928, 0
16607, 8.132, 64.040, 8.196, 655.900, 5338.000, 0.000, 1073494928, 0
16675, 8.144, 62.400, 8.206, 628.100, 5154.000, 0.000, 1073494928, 0
16743, 8.132, 65.530, 8.198, 616.900, 5020.000, 0.000, 1073494928, 0
16811, 8.128, 64.370, 8.192, 676.400, 5498.000, 0.000, 1073494928, 0
16879, 8.128, 66.040, 8.194, 682.100, 5544.000, 0.000, 1073494928, 0
16947, 8.136, 62.640, 8.199, 665.500, 5406.000, 0.000, 1073494928, 0
17015, 8.124, 68.440, 8.192, 680.200, 5534.000, 0.000, 1073494928, 0
17083, 8.128, 67.020, 8.195, 673.900, 5478.000, 0.000, 1073494928, 0
17151, 8.128, 67.320, 8.195, 663.500, 5496.000, 0.000, 1073494928, 0
17219, 8.124, 66.910, 8.191, 676.600, 5462.000, 0.000, 1073494928, 0
17287, 8.060, 84.360, 8.144, 838.700, 6766.000, 0.000, 1073494928, 0
17355, 8.084, 81.940, 8.166, 821.100, 6636.000, 0.000, 1073494928, 0
17423, 8.080, 79.380, 8.159, 788.500, 6446.000, 0.000, 1073494928, 0
17491, 8.076, 76.440, 8.152, 807.500, 6530.000, 0.000, 1073494928, 0
17559, 8.072, 83.760, 8.156, 811.600, 6548.000, 0.000, 1073494928, 0
17627, 8.064, 86.770, 8.151, 879.600, 7098.000, 0.000, 1073494928, 0
17695, 8.088, 73.250, 8.161, 780.500, 6292.000, 0.000, 1073494928, 0
17763, 8.092, 76.890, 8.169, 747.700, 6052.000, 0.000, 1073494928, 0
17831, 8.080, 80.450, 8.160, 786.100, 6364.000, 0.000, 1073494928, 0
17899, 8.100, 75.390, 8.175, 753.200, 6206.000, 0.000, 1073494928, 0
17967, 8.092, 75.520, 8.168, 748.000, 6140.000, 0.000, 1073494928, 0
18035, 8.088, 77.270, 8.165, 747.900, 6050.000, 0.000, 1073494928, 0
18103, 8.100, 74.220, 8.174, 761.000, 6160.000, 0.000, 1073494928, 0
18171, 8.092, 79.600, 8.172, 784.700, 6232.000, 0.000, 1073494928, 0
18239, 8.104, 72.630, 8.177, 753.500, 6102.000, 0.000, 1073494928, 0
18307, 8.100, 74.970, 8.175, 756.300, 6128.000, 0.000, 1073494928, 0
18375, 8.104, 73.100, 8.177, 727.800, 6118.000, 0.000, 1073494928, 0
18443, 8.136, 60.930, 8.197, 626.900, 5134.000, 0.000, 1073494928, -16777216
18511, 8.140, 62.900, 8.203, 618.300, 5034.000,  -nan, 1073494928, -16777216
18579, 8.136, 63.810, 8.200, 614.200, 4994.000,  -nan, 1073494928, -16777216
18647, 8.144, 64.780, 8.209, 643.500, 5190.000,  -nan, 1073494928, -16777216
18715, 8.136, 63.440, 8.199, 623.300, 5270.000,  -nan, 1073494928, -16777216
18783, 8.128, 64.030, 8.192, 669.100, 5442.000,  -nan, 1073494928, -16777216
