####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
10159, 11.688, 161.550, 11.850, 1676.100, 19570.000, -16, 7, 4
10167, 11.676, 164.090, 11.840, 1601.700, 18734.000, -16, 7, 5
10175, 11.672, 159.670, 11.832, 1628.900, 18498.000, -16, 7, 4
10183, 11.696, 159.250, 11.855, 1593.900, 18622.000, -16, 7, 5
10191, 11.712, 158.000, 11.870, 1544.400, 17912.000, -16, 7, 4
10198, 11.704, 152.660, 11.857, 1536.200, 18016.000, -16, 7, 5
10206, 11.700, 156.440, 11.856, 1550.400, 18170.000, -16, 7, 4
10214, 11.736, 152.960, 11.889, 1534.100, 17574.000, -16, 7, 5
10222, 11.704, 148.870, 11.853, 1526.600, 17886.000, -16, 7, 4
10230, 11.716, 155.390, 11.871, 1433.700, 17984.000, -16, 7, 5
10238, 11.712, 145.700, 11.858, 1516.700, 17272.000, -16, 7, 4
10246, 11.704, 150.670, 11.855, 1508.500, 17698.000, -16, 7, 5
10254, 11.724, 146.570, 11.871, 1524.900, 17698.000, -16, 7, 4
10262, 11.720, 152.370, 11.872, 1428.500, 16866.000, -16, 7, 5
10270, 11.756, 147.130, 11.903, 1484.800, 17396.000, -16, 7, 4
10278, 11.732, 141.990, 11.874, 1447.900, 17534.000, -16, 7, 5
10286, 11.736, 138.730, 11.875, 1438.700, 16896.000, -16, 7, 4
10293, 11.764, 146.730, 11.911, 1413.900, 16594.000, -16, 7, 5
10301, 11.756, 142.650, 11.899, 1439.900, 16770.000, -16, 7, 4
10309, 11.748, 138.640, 11.887, 1445.900, 17016.000, -16, 7, 5
10317, 11.744, 141.530, 11.886, 1374.800, 16158.000, -16, 7, 4
10325, 11.760, 136.490, 11.896, 1416.600, 16962.000, -16, 7, 5
10333, 11.776, 144.420, 11.920, 1386.700, 16280.000, -16, 7, 4
10341, 11.732, 143.110, 11.875, 1385.000, 16308.000, -16, 7, 5
10349, 11.756, 133.430, 11.889, 1343.200, 16516.000, -16, 7, 4
10357, 11.744, 134.450, 11.878, 1387.900, 16368.000, -16, 7, 5
10365, 11.760, 135.590, 11.896, 1351.600, 16168.000, -16, 7, 4
10373, 11.760, 135.660, 11.896, 1340.500, 15772.000, -16, 7, 5
10380, 11.796, 145.790, 11.942, 1401.000, 16498.000, -16, 7, 4
10388, 11.780, 131.870, 11.912, 1351.700, 16322.000, -16, 7, 5
10396, 11.796, 140.500, 11.936, 1365.100, 16092.000, -16, 7, 4
10404, 11.764, 129.700, 11.894, 1306.600, 15372.000, -16, 7, 5
10412, 11.804, 141.910, 11.946, 1393.500, 16472.000, -16, 7, 4
10420, 11.756, 142.570, 11.899, 1374.800, 16174.000, -16, 7, 5
10428, 11.728, 137.490, 11.865, 1372.000, 16118.000, -16, 7, 4
10436, 11.760, 128.580, 11.889, 1307.900, 15408.000, -24, 11, 5
10444, 11.752, 131.590, 11.884, 1300.100, 15270.000, -24, 11, 4
10452, 11.776, 129.360, 11.905, 1312.400, 15230.000, -24, 11, 5
10460, 11.732, 147.800, 11.880, 1501.400, 17686.000, -24, 11, 4
10468, 11.780, 146.030, 11.926, 1413.600, 16630.000, -24, 11, 5
10475, 11.736, 130.960, 11.867, 1324.800, 15746.000, -24, 11, 4
10483, 11.812, 142.540, 11.955, 1419.000, 16774.000, -24, 11, 5
10491, 11.768, 125.530, 11.894, 1268.100, 14930.000, -24, 11, 4
10499, 11.820, 139.870, 11.960, 1398.000, 16336.000, -24, 11, 5
10507, 11.756, 125.950, 11.882, 1273.300, 14988.000, -24, 11, 4
10515, 11.776, 133.280, 11.909, 1259.200, 14808.000, -24, 11, 5
10523, 11.828, 137.170, 11.965, 1393.900, 16368.000, -24, 11, 4
10531, 11.788, 130.800, 11.919, 1393.400, 16482.000, -24, 11, 5
10539, 11.788, 129.610, 11.918, 1349.800, 16226.000, -32, 14, 4
