time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX,Steering %,,
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
,,,,,,,,,-9.54
