##################### Startup Complete ######################{"device_name": "ECE362CarTeam07",#  "pid": [0.405000,0.070000,0.000000]#}#{"csv": "time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX
14364, 8.108, 67.720, 8.176, 678.300, 5498.000, 1.788, 1073494928
14435, 8.104, 72.100, 8.176, 712.200, 5770.000, 1.788, 1073494928
14507, 8.112, 69.550, 8.182, 696.000, 5640.000, 1.788, 1073494928
14579, 8.108, 66.000, 8.174, 702.900, 5698.000, 1.788, 1073494928
14651, 8.108, 67.630, 8.176, 699.700, 5662.000, 1.788, 1073494928
14723, 8.104, 68.880, 8.173, 713.100, 5778.000, 1.788, 1073494928
14795, 8.116, 69.710, 8.186, 699.300, 5666.000, 1.788, 1073494928
14867, 8.104, 70.650, 8.175, 682.200, 5524.000, 1.788, 1073494928
14939, 8.108, 70.030, 8.178, 704.600, 5708.000, 1.788, 1073494928
15011, 8.104, 67.460, 8.171, 706.400, 5724.000, 1.788, 1073494928
15083, 8.112, 64.860, 8.177, 666.600, 5406.000, 1.788, 1073494928
15155, 8.112, 68.140, 8.180, 680.800, 5522.000, 1.788, 1073494928
15227, 8.116, 67.550, 8.184, 691.800, 5606.000, 1.788, 1073494928
15299, 8.108, 68.530, 8.177, 675.400, 5472.000, 1.788, 1073494928
15371, 8.040, 85.660, 8.126, 850.000, 6842.000, 1.788, 1073494928
15443, 8.048, 85.940, 8.134, 839.400, 6764.000, 1.788, 1073494928
15515, 8.064, 84.310, 8.148, 827.500, 6668.000, 1.788, 1073494928
15587, 8.068, 83.810, 8.152, 810.000, 6524.000, 1.788, 1073494928
15659, 8.076, 79.920, 8.156, 812.800, 6550.000, 1.788, 1073494928
15731, 8.056, 82.490, 8.138, 834.300, 6728.000, 1.788, 1073494928
15803, 8.076, 76.050, 8.152, 769.500, 6212.000, 1.788, 1073494928
15875, 8.076, 76.750, 8.153, 788.300, 6374.000, 1.788, 1073494928
15947, 8.072, 77.860, 8.150, 771.600, 6230.000, 1.788, 1073494928
16019, 8.088, 77.790, 8.166, 790.300, 6376.000, 1.788, 1073494928
16091, 8.092, 79.160, 8.171, 776.200, 6266.000, 1.788, 1073494928
16163, 8.076, 78.540, 8.155, 778.000, 6282.000, 1.788, 1073494928
16235, 8.076, 76.580, 8.153, 775.800, 6266.000, 1.788, 1073494928
16307, 8.068, 76.300, 8.144, 758.200, 6122.000, 1.788, 1073494928
16379, 8.128, 63.230, 8.191, 632.900, 5144.000, 1.788, 1073494928
16451, 8.132, 62.920, 8.195, 633.500, 5152.000, 1.788, 1073494928
16523, 8.136, 62.410, 8.198, 637.200, 5174.000, 1.788, 1073494928
16595, 8.124, 61.700, 8.186, 618.700, 5020.000, 1.788, 1073494928
16667, 8.116, 64.400, 8.180, 635.700, 5168.000, 1.788, 1073494928
16739, 8.116, 61.520, 8.178, 649.500, 5270.000, 1.788, 1073494928
16811, 8.116, 66.180, 8.182, 665.000, 5390.000, 1.788, 1073494928
16883, 8.108, 67.610, 8.176, 672.200, 5450.000, 1.788, 1073494928
16955, 8.112, 67.630, 8.180, 670.800, 5446.000, 1.788, 1073494928
17027, 8.112, 66.160, 8.178, 674.100, 5472.000, 1.788, 1073494928
17099, 8.108, 65.740, 8.174, 685.200, 5554.000, 1.788, 1073494928
17171, 8.112, 67.060, 8.179, 668.700, 5424.000, 1.788, 1073494928
17243, 8.060, 82.770, 8.143, 846.800, 6816.000, 1.788, 1073494928
17315, 8.076, 82.140, 8.158, 831.900, 6712.000, 1.788, 1073494928
17387, 8.068, 83.450, 8.151, 824.500, 6642.000, 1.788, 1073494928
17459, 8.116, 61.010, 8.177, 630.200, 5118.000, 1.788, 1073494928
17531, 8.060, 82.380, 8.142, 824.800, 6662.000, 1.788, 1073494928
17603, 8.128, 64.210, 8.192, 650.500, 5286.000, 1.788, 1073494928
17675, 8.068, 83.740, 8.152, 796.400, 6420.000, 1.788, 1073494928
17747, 8.072, 76.510, 8.149, 768.200, 6200.000, 1.788, 1073494928
17819, 8.080, 79.290, 8.159, 814.400, 6560.000, 1.788, 1073494928
17891, 8.076, 74.940, 8.151, 788.500, 6360.000, 1.788, 1073494928
17963, 8.080, 77.320, 8.157, 761.300, 6144.000, 1.788, 1073494928
18035, 8.084, 74.890, 8.159, 732.600, 5928.000, 1.788, 1073494928
18107, 8.072, 78.640, 8.151, 747.600, 6046.000, 1.788, 1073494928
18179, 8.080, 74.460, 8.154, 764.000, 6164.000, 1.788, 1073494928
18251, 8.080, 78.220, 8.158, 747.200, 6036.000, 1.788, 1073494928
18323, 8.124, 62.230, 8.186, 626.200, 5086.000, 1.788, 1073494928
18395, 8.128, 62.740, 8.191, 632.200, 5138.000, 1.788, 1073494928
