time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
18399,177,11.716,601.1,7196,43
18449,178,11.724,602.3,7058,43
18499,179,11.716,592.8,7100,43
18549,180,11.724,613.8,7190,43
18599,181,11.716,606.4,7052,43
18649,182,11.712,624.3,7314,43
18699,183,11.716,582.8,6826,43
18749,184,11.716,619.2,7254,43
18799,185,11.712,601.7,7048,43
18849,186,11.724,615.8,7092,43
18899,187,11.716,607.3,7114,43
18949,188,11.712,605.3,7128,43
18999,189,11.72,605.8,7098,43
19049,190,11.708,599.1,7098,43
19099,191,11.716,603.2,7068,43
19149,192,11.712,604.4,6944,43
19199,193,11.716,608.9,7134,43
19249,194,11.708,621.7,7052,43
19299,195,11.716,632.2,7406,43
19349,196,11.708,623.3,7304,43
19399,197,11.72,599.8,7026,43
19449,198,11.712,620.6,7272,43
19499,199,11.708,608.9,7210,43
19549,200,11.716,621.6,7274,43
19599,201,11.716,608.8,7202,43
19649,202,11.708,618.1,7242,43
19699,203,11.712,618.6,7308,43
19749,204,11.712,616.5,7226,43
19799,205,11.712,622.5,7170,43
19849,206,11.712,642.3,7520,43
19899,207,11.708,610.4,7150,43
19949,208,11.704,635,7438,43
19999,209,11.708,607.3,7118,43
20049,210,11.712,607.7,7144,43
20099,211,11.712,608.6,7128,43
20149,212,11.692,653.9,7448,43
20199,213,11.716,595.1,6970,43
20249,214,11.712,612,7098,43
20299,215,11.712,624.9,7320,43
20349,216,11.708,624.5,7366,43
20399,217,11.7,637.2,7462,43
20449,218,11.704,609.8,7144,43
20499,219,11.704,612.9,7180,43
20549,220,11.712,616.3,7218,43
20599,221,11.708,622.6,7300,43
20649,222,11.728,588.4,6898,43
20699,223,11.712,611.7,7092,43
20749,224,11.712,629,7366,43
20799,225,11.708,617,7340,43
20849,226,11.72,590.9,6928,43
20899,227,11.712,623.3,7222,43
20949,228,11.712,625.4,7324,43
20999,229,11.708,621.3,7272,43
21049,230,11.712,620.3,7264,43
21099,231,11.708,623.7,7304,43
21149,232,11.708,623.1,7284,43
21199,233,11.704,631.9,7400,43
21249,234,11.708,619.7,7364,43
21299,235,11.712,626.3,7336,43
21349,236,11.708,619.8,7292,43
21399,237,11.708,624.3,7310,43
21449,238,11.7,667.1,7562,43
