9545, 8.052, 36.770, 8.089, 368.700, 2962.000, 0.000

9623, 7.936, 41.880, 7.978, 871.700, 6862.000, 0.000
9700, 7.884, 84.380, 7.968, 863.400, 6812.000, 0.000
9777, 7.780, 113.300, 7.893, 1137.200, 8732.000, 0.000
9854, 7.868, 89.470, 7.957, 878.600, 6920.000, 0.000
9931, 7.896, 84.200, 7.980, 905.200, 7134.000, 0.000
10008, 7.908, 83.290, 7.991, 844.400, 6318.000, 0.000
10085, 7.896, 81.780, 7.978, 800.200, 6322.000, 0.000
10162, 7.916, 79.540, 7.996, 797.100, 6302.000, 0.000
10239, 7.912, 78.070, 7.990, 760.900, 6276.000, 0.000
10316, 7.920, 78.000, 7.998, 781.800, 6170.000, 0.000
10393, 7.908, 76.540, 7.985, 772.400, 6112.000, 0.000
10470, 7.908, 75.540, 7.984, 790.600, 5984.000, 0.000
10547, 7.908, 77.180, 7.985, 760.900, 6022.000, 0.000
10624, 7.904, 79.370, 7.983, 774.400, 6124.000, 0.000
10701, 7.912, 76.630, 7.989, 790.900, 6114.000, 0.000
10778, 7.912, 77.850, 7.990, 739.100, 5846.000, 0.000
10855, 7.912, 75.970, 7.988, 770.500, 6092.000, 0.000
10932, 7.908, 78.980, 7.987, 773.300, 6086.000, 0.000
11009, 7.912, 77.200, 7.989, 749.800, 5932.000, 0.000
11086, 7.912, 76.350, 7.988, 760.000, 6016.000, 0.000
11163, 7.836, 97.290, 7.933, 961.400, 7674.000, 0.000
11240, 7.904, 81.100, 7.985, 805.800, 6354.000, 0.000
11317, 7.912, 76.190, 7.988, 776.500, 6134.000, 0.000
11394, 7.904, 74.180, 7.978, 781.800, 6134.000, 0.000
11471, 7.896, 78.100, 7.974, 781.700, 6184.000, 0.000
11548, 7.904, 76.220, 7.980, 766.700, 6068.000, 0.000
11625, 7.908, 74.070, 7.982, 760.900, 5964.000, 0.000
11702, 7.904, 76.790, 7.981, 757.400, 6022.000, 0.000
11779, 7.904, 78.300, 7.982, 761.500, 6016.000, 0.000
11856, 7.916, 75.580, 7.992, 764.700, 5924.000, 0.000
11933, 7.904, 75.130, 7.979, 764.700, 6122.000, 0.000
12010, 7.908, 75.190, 7.983, 769.400, 6088.000, 0.000
12087, 7.924, 77.700, 8.002, 754.300, 6094.000, 0.000
12164, 7.916, 74.580, 7.991, 772.300, 5980.000, 0.000
12241, 7.916, 74.710, 7.991, 777.500, 6158.000, 0.000
12318, 7.908, 77.490, 7.985, 779.400, 6108.000, 0.000
12395, 7.920, 73.510, 7.994, 760.900, 6030.000, 0.000
12472, 7.924, 76.500, 8.000, 742.800, 5886.000, 0.000
12549, 7.904, 78.830, 7.983, 790.400, 6258.000, 0.000
12626, 7.912, 77.600, 7.990, 770.300, 6066.000, 0.000
12703, 7.908, 75.870, 7.984, 746.100, 5912.000, 0.000
12780, 7.816, 101.910, 7.918, 1046.100, 8186.000, 0.000
