####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.405000,0.065000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
9545, 12.112, 37.900, 12.150, 381.500, 4558.000, -16, 7, 0
9553, 12.112, 37.780, 12.150, 382.800, 4538.000, -16, 7, 1
9561, 12.076, 46.630, 12.123, 453.900, 5486.000, -16, 7, 0
9568, 12.084, 44.930, 12.129, 444.800, 5378.000, -16, 7, 1
9576, 12.080, 42.000, 12.122, 419.300, 5072.000, -16, 7, 0
9584, 12.104, 40.540, 12.145, 405.300, 4890.000, -16, 7, 1
9592, 12.108, 39.420, 12.147, 395.600, 4726.000, -16, 7, 0
9599, 12.112, 39.460, 12.151, 389.500, 4634.000, -16, 7, 1
9607, 12.112, 38.120, 12.150, 381.000, 4614.000, -16, 7, 0
9615, 12.100, 41.830, 12.142, 419.900, 5080.000, -16, 7, 1
9622, 12.104, 40.740, 12.145, 404.900, 4902.000, -16, 7, 0
9630, 12.108, 39.890, 12.148, 402.200, 4808.000, -16, 7, 1
9638, 12.108, 38.040, 12.146, 384.200, 4636.000, -16, 7, 0
9646, 12.000, 68.830, 12.069, 696.800, 8360.000, -16, 7, 1
9653, 12.004, 69.280, 12.073, 799.300, 9558.000, -16, 7, 0
9661, 11.956, 81.880, 12.038, 813.500, 9716.000, -16, 7, 1
9669, 11.956, 84.240, 12.040, 822.900, 9830.000, -16, 8, 0
9677, 11.948, 83.240, 12.031, 845.600, 9316.000, -16, 8, 1
9684, 11.932, 86.040, 12.018, 863.500, 10086.000, -16, 8, 0
9692, 11.952, 83.990, 12.036, 844.100, 10070.000, -16, 8, 1
9700, 11.868, 98.420, 11.966, 905.300, 10794.000, -16, 8, 0
9707, 11.964, 79.060, 12.043, 816.400, 9758.000, -16, 8, 1
9715, 11.964, 78.990, 12.043, 791.600, 8968.000, -16, 8, 0
9723, 11.976, 76.220, 12.052, 776.500, 9198.000, -16, 8, 1
9731, 11.972, 72.140, 12.044, 775.700, 9296.000, -16, 8, 0
9738, 11.932, 85.670, 12.018, 854.300, 10204.000, -16, 8, 1
9746, 11.956, 86.020, 12.042, 851.900, 10182.000, -16, 8, 0
9754, 11.960, 83.610, 12.044, 841.400, 10066.000, -16, 8, 1
9761, 11.900, 94.220, 11.994, 1018.800, 12918.000, -16, 8, 0
9769, 11.776, 119.850, 11.896, 1175.500, 13386.000, -16, 8, 1
9777, 11.904, 98.690, 12.003, 969.600, 11550.000, -16, 8, 0
9785, 11.880, 98.320, 11.978, 1111.800, 13140.000, -16, 8, 1
9792, 11.728, 151.900, 11.880, 1485.200, 17456.000, -16, 9, 0
9800, 11.860, 109.630, 11.970, 1085.400, 12456.000, -16, 9, 1
9808, 11.820, 105.150, 11.925, 1195.800, 14090.000, -16, 9, 0
9816, 11.656, 184.650, 11.841, 1779.600, 19700.000, -16, 9, 1
9824, 11.800, 124.400, 11.924, 1220.200, 14134.000, -16, 9, 0
9832, 11.672, 141.730, 11.814, 1647.300, 19196.000, -16, 9, 1
9840, 11.704, 153.260, 11.857, 1494.200, 16364.000, -16, 9, 0
9848, 11.848, 121.060, 11.969, 1074.400, 12756.000, -16, 9, 1
9856, 11.912, 91.150, 12.003, 945.300, 11260.000, -16, 9, 0
9864, 11.916, 93.030, 12.009, 934.300, 11086.000, -16, 9, 1
9871, 11.912, 92.340, 12.004, 929.700, 11210.000, -16, 9, 0
9879, 11.936, 91.720, 12.028, 934.000, 11134.000, -16, 9, 1
9887, 11.916, 92.420, 12.008, 903.000, 10764.000, -16, 9, 0
9895, 11.940, 86.750, 12.027, 898.800, 10726.000, -16, 9, 1
9902, 11.920, 90.650, 12.011, 900.500, 10738.000, -16, 9, 0
9910, 11.928, 88.870, 12.017, 909.400, 10898.000, -16, 9, 1
9918, 11.924, 88.080, 12.012, 850.100, 10418.000, -16, 10, 0
9925, 11.916, 87.740, 12.004, 881.300, 10518.000, -16, 10, 1
9933, 11.940, 85.380, 12.025, 861.500, 10282.000, -16, 10, 0
9941, 11.924, 86.540, 12.011, 883.900, 10552.000, -16, 10, 1
9949, 11.944, 90.090, 12.034, 830.100, 10572.000, -16, 10, 0
9956, 11.932, 83.900, 12.016, 893.700, 10444.000, -16, 10, 1
9964, 11.940, 87.190, 12.027, 856.600, 10220.000, -16, 10, 0
9972, 11.932, 84.680, 12.017, 889.400, 10630.000, -16, 10, 1
9980, 11.932, 83.800, 12.016, 866.900, 10346.000, -16, 10, 0
9987, 11.936, 86.370, 12.022, 865.100, 10362.000, -16, 10, 1
9995, 11.932, 86.840, 12.019, 870.400, 10450.000, -16, 10, 0
10003, 11.940, 86.230, 12.026, 864.100, 10542.000, -16, 10, 1
10011, 11.932, 85.590, 12.018, 856.400, 10224.000, -16, 10, 0
10018, 11.936, 87.010, 12.023, 862.300, 10204.000, -16, 10, 1
10026, 11.940, 86.470, 12.026, 863.400, 10290.000, -16, 10, 0
10034, 11.936, 84.110, 12.020, 880.800, 10522.000, -16, 10, 1
10042, 11.944, 85.990, 12.030, 855.100, 10418.000, -16, 11, 0
10050, 11.944, 86.680, 12.031, 848.700, 10142.000, -16, 11, 1
10058, 11.940, 84.660, 12.025, 844.500, 10090.000, -16, 11, 0
10066, 11.940, 85.680, 12.026, 851.600, 10240.000, -16, 11, 1
10074, 11.944, 88.640, 12.033, 841.900, 10054.000, -16, 11, 0
10082, 11.948, 85.220, 12.033, 834.600, 10148.000, -16, 11, 1
10090, 11.948, 81.110, 12.029, 864.300, 10322.000, -16, 11, 0
10098, 11.952, 81.950, 12.034, 864.500, 10322.000, -16, 11, 1
10106, 11.948, 83.870, 12.032, 833.600, 10110.000, -16, 11, 0
10114, 11.944, 84.300, 12.028, 823.800, 9844.000, -16, 11, 1
10121, 11.952, 84.680, 12.037, 831.300, 9938.000, -16, 11, 0
10129, 11.960, 85.340, 12.045, 846.400, 10112.000, -16, 11, 1
10137, 11.948, 82.260, 12.030, 820.200, 9814.000, -16, 11, 0
10145, 11.960, 87.350, 12.047, 848.700, 10158.000, -16, 11, 1
10153, 11.948, 83.770, 12.032, 812.500, 9716.000, -16, 11, 0
10160, 11.956, 83.430, 12.039, 811.800, 9700.000, -16, 11, 1
10168, 11.944, 79.990, 12.024, 830.900, 9654.000, -8, 8, 0
10176, 11.952, 85.340, 12.037, 848.700, 10132.000, -8, 8, 1
10184, 11.952, 85.970, 12.038, 812.500, 9716.000, -8, 8, 0
10191, 11.948, 81.880, 12.030, 797.800, 9532.000, -8, 8, 1
10199, 11.952, 82.570, 12.035, 827.000, 9882.000, -8, 8, 0
10207, 11.948, 87.300, 12.035, 851.400, 9926.000, -8, 8, 1
10215, 11.952, 84.610, 12.037, 839.100, 10148.000, -8, 8, 0
10222, 11.960, 79.770, 12.040, 837.600, 10018.000, -8, 8, 1
10230, 11.956, 84.560, 12.041, 817.100, 9762.000, -8, 9, 0
10238, 11.968, 83.570, 12.052, 823.800, 9844.000, -8, 9, 1
10245, 11.952, 80.410, 12.032, 823.100, 9846.000, -8, 9, 0
10253, 11.948, 84.370, 12.032, 825.100, 9974.000, -8, 9, 1
10261, 11.944, 82.700, 12.027, 799.400, 9748.000, -8, 9, 0
10269, 11.972, 79.720, 12.052, 806.200, 9640.000, -8, 9, 1
10276, 11.960, 78.590, 12.039, 796.000, 9526.000, -8, 9, 0
10284, 11.956, 81.890, 12.038, 811.700, 9692.000, -8, 9, 1
10292, 11.980, 80.730, 12.061, 781.100, 9516.000, -8, 9, 0
10299, 11.952, 84.280, 12.036, 821.300, 9228.000, -8, 9, 1
10307, 11.956, 83.270, 12.039, 822.800, 9838.000, -8, 9, 0
10315, 11.964, 83.770, 12.048, 785.900, 9394.000, -8, 9, 1
10323, 11.960, 79.600, 12.040, 771.800, 9240.000, -8, 9, 0
10330, 11.968, 80.030, 12.048, 842.900, 10082.000, -8, 9, 1
10338, 11.972, 82.190, 12.054, 776.300, 9348.000, -8, 9, 0
10346, 11.956, 81.540, 12.038, 827.900, 9522.000, -8, 9, 1
10354, 11.964, 79.930, 12.044, 831.900, 9962.000, -8, 9, 0
10361, 11.972, 79.100, 12.051, 773.500, 9264.000, -8, 9, 1
10369, 11.956, 77.470, 12.033, 803.800, 9618.000, -8, 9, 0
10377, 11.968, 79.890, 12.048, 785.400, 9234.000, -8, 9, 1
10384, 11.964, 82.500, 12.047, 809.200, 9654.000, -8, 9, 0
10392, 11.960, 81.900, 12.042, 815.400, 9758.000, -8, 9, 1
