####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.405000,0.065000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
10400, 11.964, 81.410, 12.045, 784.400, 9392.000, -8, 9, 0
10408, 11.972, 80.460, 12.052, 794.300, 9494.000, -8, 9, 1
10415, 11.968, 79.380, 12.047, 798.000, 9552.000, -8, 9, 0
10423, 11.956, 85.680, 12.042, 800.300, 9520.000, -8, 9, 1
10431, 11.948, 83.040, 12.031, 817.700, 9792.000, -8, 9, 0
10439, 11.964, 81.010, 12.045, 781.800, 9348.000, -8, 9, 1
10446, 11.976, 81.320, 12.057, 804.000, 9620.000, -8, 9, 0
10454, 11.976, 80.560, 12.057, 771.400, 9228.000, -8, 9, 1
10462, 11.972, 78.970, 12.051, 776.300, 9506.000, 0, 6, 0
10470, 11.964, 79.590, 12.044, 782.200, 9620.000, 0, 6, 1
10477, 11.944, 80.110, 12.024, 867.800, 10362.000, 0, 6, 0
10485, 11.940, 86.630, 12.027, 864.400, 10332.000, 0, 6, 1
10493, 11.948, 83.530, 12.032, 838.600, 10024.000, 0, 6, 0
10500, 11.956, 84.120, 12.040, 801.700, 9582.000, 0, 6, 1
10508, 11.964, 80.670, 12.045, 815.900, 9620.000, 0, 6, 0
10516, 11.964, 82.940, 12.047, 817.800, 9376.000, 0, 6, 1
10524, 11.968, 83.380, 12.051, 780.300, 9332.000, 0, 6, 0
10531, 11.960, 80.300, 12.040, 813.300, 9728.000, 0, 6, 1
10539, 11.964, 78.640, 12.043, 759.500, 9086.000, 0, 6, 0
10547, 11.960, 77.190, 12.037, 807.500, 9664.000, 0, 6, 1
10554, 11.956, 81.830, 12.038, 771.100, 9250.000, 0, 6, 0
10562, 11.952, 79.480, 12.031, 795.700, 9676.000, 0, 6, 1
10570, 11.964, 79.200, 12.043, 793.300, 9484.000, 0, 6, 0
10578, 11.968, 80.800, 12.049, 802.600, 9588.000, 0, 6, 1
10585, 11.964, 77.440, 12.041, 776.500, 9296.000, 0, 6, 0
10593, 11.968, 80.550, 12.049, 788.100, 9326.000, 0, 6, 1
10601, 11.964, 79.650, 12.044, 803.800, 9574.000, 0, 6, 0
10608, 11.964, 81.140, 12.045, 779.900, 9332.000, 0, 6, 1
10616, 11.964, 79.880, 12.044, 807.900, 9660.000, 0, 6, 0
10624, 11.968, 81.630, 12.050, 795.900, 9516.000, 0, 6, 1
10632, 11.972, 78.080, 12.050, 790.100, 9458.000, 0, 6, 0
10639, 11.976, 81.420, 12.057, 781.300, 9434.000, 0, 6, 1
10647, 11.968, 80.800, 12.049, 797.100, 9556.000, 0, 6, 0
10655, 11.956, 81.540, 12.038, 828.300, 9906.000, 0, 6, 1
10662, 11.952, 78.520, 12.031, 797.500, 9536.000, 8, 3, 0
10670, 11.976, 86.470, 12.062, 838.700, 10024.000, 8, 3, 1
10678, 11.944, 84.920, 12.029, 853.600, 10198.000, 8, 3, 0
10685, 11.948, 80.780, 12.029, 813.800, 9824.000, 8, 3, 1
10693, 11.952, 81.100, 12.033, 817.300, 9530.000, 8, 3, 0
10701, 11.956, 77.470, 12.033, 798.400, 9548.000, 8, 3, 1
10709, 11.960, 80.260, 12.040, 770.400, 9222.000, 8, 3, 0
10716, 11.968, 80.740, 12.049, 793.200, 9496.000, 8, 3, 1
10724, 11.964, 79.750, 12.044, 805.500, 9640.000, 8, 3, 0
10732, 11.956, 80.410, 12.036, 793.900, 9536.000, 8, 3, 1
10740, 11.964, 79.130, 12.043, 791.300, 9362.000, 8, 3, 0
10747, 11.980, 80.980, 12.061, 797.800, 9548.000, 8, 3, 1
10755, 11.964, 79.110, 12.043, 785.700, 9394.000, 8, 3, 0
10763, 11.968, 75.650, 12.044, 769.500, 9208.000, 8, 3, 1
10770, 11.964, 80.150, 12.044, 753.000, 9012.000, 8, 3, 0
10778, 11.968, 77.840, 12.046, 783.400, 9496.000, 8, 2, 1
10786, 11.960, 79.230, 12.039, 790.900, 9412.000, 8, 2, 0
10794, 11.968, 80.450, 12.048, 776.400, 9294.000, 8, 2, 1
10801, 11.956, 83.800, 12.040, 821.100, 9824.000, 8, 2, 0
10809, 11.960, 82.750, 12.043, 804.500, 9620.000, 8, 2, 1
10817, 11.960, 81.530, 12.042, 821.400, 9828.000, 8, 2, 0
10824, 11.960, 77.530, 12.038, 804.600, 9532.000, 8, 2, 1
10832, 11.960, 77.940, 12.038, 799.100, 9552.000, 8, 2, 0
10840, 11.968, 77.030, 12.045, 787.500, 9418.000, 8, 2, 1
10847, 11.964, 76.020, 12.040, 793.300, 9494.000, 8, 2, 0
10855, 11.968, 78.840, 12.047, 794.200, 9494.000, 8, 2, 1
10863, 11.956, 78.870, 12.035, 828.600, 9900.000, 8, 2, 0
10871, 11.972, 82.350, 12.054, 772.300, 9856.000, 8, 2, 1
10878, 11.976, 81.670, 12.058, 796.500, 8706.000, 8, 2, 0
10886, 11.964, 76.980, 12.041, 776.800, 9286.000, 8, 2, 1
10894, 11.968, 75.850, 12.044, 780.600, 9346.000, 8, 2, 0
10901, 11.968, 79.100, 12.047, 787.000, 9420.000, 8, 2, 1
10909, 11.984, 76.720, 12.061, 794.600, 9510.000, 8, 2, 0
10917, 11.984, 78.060, 12.062, 791.700, 8920.000, 8, 2, 1
10925, 11.988, 77.950, 12.066, 756.000, 9346.000, 8, 2, 0
10932, 11.976, 81.640, 12.058, 791.800, 9476.000, 8, 2, 1
10940, 11.972, 77.420, 12.049, 795.700, 9522.000, 8, 2, 0
10948, 11.968, 75.100, 12.043, 744.900, 8910.000, 8, 2, 1
10955, 11.968, 77.850, 12.046, 787.900, 9444.000, 8, 2, 0
10963, 11.968, 76.100, 12.044, 787.300, 8884.000, 8, 2, 1
10971, 11.976, 79.550, 12.056, 695.300, 9284.000, 8, 2, 0
10979, 11.964, 75.500, 12.039, 761.800, 9116.000, 8, 2, 1
10986, 11.980, 77.020, 12.057, 777.100, 9300.000, 8, 2, 0
10994, 11.968, 79.200, 12.047, 728.000, 8716.000, 8, 2, 1
11002, 12.000, 78.120, 12.078, 772.900, 9326.000, 8, 2, 0
#}
